gene_id gene_desc
ENSG00000117682.16 DHDDS
ENSG00000198830.10 HMGN2
ENSG00000117713.18 ARID1A
ENSG00000142751.14 GPN2
ENSG00000198746.12 GPATCH3
ENSG00000090273.13 NUDC
ENSG00000142784.15 WDTC1
ENSG00000186501.14 TMEM222
ENSG00000142733.14 MAP3K6
ENSG00000142748.12 FCN3
ENSG00000158195.10 WASF2
ENSG00000126705.13 AHDC1
ENSG00000126709.14 IFI6
ENSG00000117758.13 STX12
ENSG00000117751.17 PPP1R8
ENSG00000117748.9 RPA2
ENSG00000158161.15 EYA3
ENSG00000126698.10 DNAJC8
ENSG00000130770.17 ATPIF1
ENSG00000270605.1 RP5-1092A3.4
ENSG00000130766.4 SESN2
ENSG00000130772.13 MED18
ENSG00000204138.12 PHACTR4
ENSG00000180198.15 RCC1
ENSG00000197989.13 SNHG12
ENSG00000278274.1 SNORA61
ENSG00000120656.11 TAF12
ENSG00000198492.15 YTHDF2
ENSG00000159023.19 EPB41
ENSG00000116350.16 SRSF4
ENSG00000116353.15 MECR
ENSG00000060656.19 PTPRU
ENSG00000162511.7 LAPTM5
ENSG00000134644.15 PUM1
ENSG00000084628.9 NKAIN1
ENSG00000060688.12 SNRNP40
ENSG00000121766.15 ZCCHC17
ENSG00000121769.7 FABP3
ENSG00000168528.11 SERINC2
ENSG00000142910.15 TINAGL1
ENSG00000162517.12 PEF1
ENSG00000084636.17 COL16A1
ENSG00000184007.18 PTP4A2
ENSG00000121774.17 KHDRBS1
ENSG00000025800.13 KPNA6
ENSG00000084652.15 TXLNA
ENSG00000160050.14 CCDC28B
ENSG00000084623.11 EIF3I
ENSG00000116478.11 HDAC1
ENSG00000175130.6 MARCKSL1
ENSG00000160058.18 BSDC1
ENSG00000176261.15 ZBTB8OS
ENSG00000162521.18 RBBP4
ENSG00000162520.14 SYNC
ENSG00000134684.10 YARS
ENSG00000160097.16 FNDC5
ENSG00000116514.16 RNF19B
ENSG00000004455.16 AK2
ENSG00000116525.13 TRIM62
ENSG00000160094.14 ZNF362
ENSG00000134686.18 PHC2
ENSG00000163866.8 SMIM12
ENSG00000187513.8 GJA4
ENSG00000243749.1 TMEM35B
ENSG00000116560.10 SFPQ
ENSG00000146463.11 ZMYM4
ENSG00000142687.17 KIAA0319L
ENSG00000020129.15 NCDN
ENSG00000126067.11 PSMB2
ENSG00000142686.7 C1orf216
ENSG00000134698.10 AGO4
ENSG00000116863.10 ADPRHL2
ENSG00000054116.11 TRAPPC3
ENSG00000116871.15 MAP7D1
ENSG00000054118.13 THRAP3
ENSG00000142694.6 EVA1B
ENSG00000116883.8 RP11-268J15.5
ENSG00000196182.10 STK40
ENSG00000181817.5 LSM10
ENSG00000116898.11 MRPS15
ENSG00000233621.1 LINC01137
ENSG00000163874.10 ZC3H12A
ENSG00000163875.15 MEAF6
ENSG00000134697.12 GNL2
ENSG00000196449.3 YRDC
ENSG00000197982.13 C1orf122
ENSG00000183431.11 SF3A3
ENSG00000183386.9 FHL3
ENSG00000183520.11 UTP11
ENSG00000116954.7 RRAGC
ENSG00000214114.8 MYCBP
ENSG00000174574.15 AKIRIN1
ENSG00000168653.10 NDUFS5
ENSG00000127603.23 MACF1
ENSG00000090621.13 PABPC4
ENSG00000163909.7 HEYL
ENSG00000116981.3 NT5C1A
ENSG00000084072.16 PPIE
ENSG00000043514.15 TRIT1
ENSG00000131236.16 CAP1
ENSG00000131238.16 PPT1
ENSG00000117000.8 RLF
ENSG00000259943.1 RP1-39G22.7
ENSG00000084073.8 ZMPSTE24
ENSG00000084070.11 SMAP2
ENSG00000066136.20 NFYC
ENSG00000117013.14 KCNQ4
ENSG00000179862.6 CITED4
ENSG00000171793.13 CTPS1
ENSG00000010803.16 SCMH1
ENSG00000198815.8 FOXJ3
ENSG00000127125.8 PPCS
ENSG00000171960.10 PPIH
ENSG00000065978.18 YBX1
ENSG00000117385.15 P3H1
ENSG00000164008.14 C1orf50
ENSG00000177868.11 SVBP
ENSG00000164011.17 ZNF691
ENSG00000117394.20 SLC2A1
ENSG00000117395.12 EBNA1BP2
ENSG00000066056.13 TIE1
ENSG00000066322.14 ELOVL1
ENSG00000159479.16 MED8
ENSG00000066135.12 KDM4A
ENSG00000126091.19 ST3GAL3
ENSG00000229444.1 RP11-184I16.4
ENSG00000117408.10 IPO13
ENSG00000132768.13 DPH2
ENSG00000117410.13 ATP6V0B
ENSG00000117411.16 B4GALT2
ENSG00000178028.13 DMAP1
ENSG00000117419.14 ERI3
ENSG00000187147.17 RNF220
ENSG00000142937.11 RPS8
ENSG00000070785.16 EIF2B3
ENSG00000126107.14 HECTD3
ENSG00000126088.13 UROD
ENSG00000117450.13 PRDX1
ENSG00000117448.13 AKR1A1
ENSG00000132780.16 NASP
ENSG00000159592.10 GPBP1L1
ENSG00000159596.6 TMEM69
ENSG00000197429.10 IPP
ENSG00000086015.20 MAST2
ENSG00000117461.14 PIK3R3
ENSG00000085998.13 POMGNT1
ENSG00000132128.16 LRRC41
ENSG00000173660.11 UQCRH
ENSG00000117480.15 FAAH
ENSG00000079277.19 MKNK1
ENSG00000142961.14 MOB3C
ENSG00000123472.12 ATPAF1
ENSG00000159658.10 EFCAB14
ENSG00000142973.13 CYP4B1
ENSG00000162368.13 CMPK1
ENSG00000185104.19 FAF1
ENSG00000123091.4 RNF11
ENSG00000085832.16 EPS15
ENSG00000117859.18 OSBPL9
ENSG00000078618.21 NRDC
ENSG00000117862.11 TXNDC12
ENSG00000134717.17 BTF3L4
ENSG00000157077.14 ZFYVE9
ENSG00000154222.14 CC2D1B
ENSG00000134748.12 PRPF38A
ENSG00000134744.13 ZCCHC11
ENSG00000162377.5 COA7
ENSG00000162378.12 ZYG11B
ENSG00000121310.16 ECHDC2
ENSG00000116171.17 SCP2
ENSG00000174348.13 PODN
ENSG00000157184.6 CPT2
ENSG00000162384.13 C1orf123
ENSG00000162385.10 MAGOH
ENSG00000058799.14 YIPF1
ENSG00000116212.14 LRRC42
ENSG00000116209.11 TMEM59
ENSG00000116221.15 MRPL37
ENSG00000157216.15 SSBP3
ENSG00000243725.6 TTC4
ENSG00000116133.11 DHCR24
ENSG00000162402.13 USP24
ENSG00000162407.8 PLPP3
ENSG00000162409.10 PRKAA2
ENSG00000162600.11 OMA1
ENSG00000162601.9 MYSM1
ENSG00000177606.6 JUN
ENSG00000134716.9 CYP2J2
ENSG00000162599.15 NFIA
ENSG00000132849.19 PATJ
ENSG00000162607.12 USP1
ENSG00000203965.12 EFCAB7
ENSG00000116652.6 DLEU2L
ENSG00000079739.15 PGM1
ENSG00000162437.14 RAVER2
ENSG00000162434.11 JAK1
ENSG00000213625.8 LEPROT
ENSG00000184588.17 PDE4B
ENSG00000116704.7 SLC35D1
ENSG00000142864.14 SERBP1
ENSG00000116717.11 GADD45A
ENSG00000172380.5 GNG12
ENSG00000116754.13 SRSF11
ENSG00000118454.12 ANKRD13C
ENSG00000132485.13 ZRANB2
ENSG00000116791.13 CRYZ
ENSG00000117054.13 ACADM
ENSG00000137955.15 RABGGTB
ENSG00000226415.1 TPI1P1
ENSG00000077254.14 USP33
ENSG00000180488.14 MIGA1
ENSG00000162614.18 NEXN
ENSG00000162613.16 FUBP1
ENSG00000162616.8 DNAJB4
ENSG00000137965.10 IFI44
ENSG00000162618.13 ADGRL4
ENSG00000117133.10 RPF1
ENSG00000174021.10 GNG5
ENSG00000162642.13 C1orf52
ENSG00000153904.18 DDAH1
ENSG00000142871.16 CYR61
ENSG00000097033.14 SH3GLB1
ENSG00000183291.15 SELENOF
ENSG00000143013.12 LMO4
ENSG00000065243.19 PKN2
ENSG00000137947.11 GTF2B
ENSG00000137944.17 KYAT3
ENSG00000234518.2 PTGES3P1
ENSG00000162645.12 GBP2
ENSG00000171492.14 LRRC8D
ENSG00000122482.20 ZNF644
ENSG00000069702.10 TGFBR3
ENSG00000122406.12 RPL5
ENSG00000117500.12 TMED5
ENSG00000117505.12 DR1
ENSG00000137942.16 FNBP1L
ENSG00000137936.16 BCAR3
ENSG00000067334.13 DNTTIP2
ENSG00000023909.9 GCLM
ENSG00000117528.11 ABCD3
ENSG00000117525.13 F3
ENSG00000117519.15 CNN3
ENSG00000152078.9 TMEM56
ENSG00000122481.16 RWDD3
ENSG00000137970.7 RPL7P9
ENSG00000162627.16 SNX7
ENSG00000099260.10 PALMD
ENSG00000162688.16 AGL
ENSG00000156875.13 MFSD14A
ENSG00000122435.9 TRMT13
ENSG00000122477.12 LRRC39
ENSG00000137992.14 DBT
ENSG00000137996.12 RTCA
ENSG00000162692.10 VCAM1
ENSG00000117543.20 DPH5
ENSG00000170989.8 S1PR1
ENSG00000185946.15 RNPC3
ENSG00000240038.6 AMY2B
ENSG00000134186.11 PRPF38B
ENSG00000116266.10 STXBP3
ENSG00000121957.12 GPSM2
ENSG00000121940.15 CLCC1
ENSG00000085433.15 WDR47
ENSG00000197780.9 TAF13
ENSG00000215717.5 TMEM167B
ENSG00000031698.12 SARS
ENSG00000134243.11 SORT1
ENSG00000143106.12 PSMA5
ENSG00000143028.8 SYPL2
ENSG00000162650.16 ATXN7L2
ENSG00000181754.6 AMIGO1
ENSG00000168765.16 GSTM4
ENSG00000213366.12 GSTM2
ENSG00000134184.12 GSTM1
ENSG00000134202.10 GSTM3
ENSG00000184371.13 CSF1
ENSG00000168710.17 AHCYL1
ENSG00000143093.14 STRIP1
ENSG00000273373.1 RP5-1074L1.4
ENSG00000134248.13 LAMTOR5
ENSG00000121931.15 LRIF1
ENSG00000156171.14 DRAM2
ENSG00000116455.13 WDR77
ENSG00000116459.10 ATP5F1
ENSG00000143110.11 C1orf162
ENSG00000116473.14 RAP1A
ENSG00000064703.11 DDX20
ENSG00000116489.12 CAPZA1
ENSG00000155366.16 RHOC
ENSG00000155367.15 PPM1J
ENSG00000155380.11 SLC16A1
ENSG00000081019.13 RSBN1
ENSG00000163349.21 HIPK1
ENSG00000116774.11 OLFML3
ENSG00000197323.11 TRIM33
ENSG00000116752.5 BCAS2
ENSG00000175984.14 DENND2C
ENSG00000116748.21 AMPD1
ENSG00000213281.4 NRAS
ENSG00000009307.15 CSDE1
ENSG00000052723.11 SIKE1
ENSG00000118729.11 CASQ2
ENSG00000163399.15 ATP1A1
ENSG00000134253.9 TRIM45
ENSG00000198162.12 MAN1A2
ENSG00000183508.4 FAM46C
ENSG00000065183.15 WDR3
ENSG00000092607.13 TBX15
ENSG00000134240.11 HMGCS2
ENSG00000265808.3 SEC22B
ENSG00000274642.1 CH17-472G23.1
ENSG00000275131.2 CH17-472G23.4
ENSG00000265491.4 RNF115
ENSG00000186141.8 POLR3C
ENSG00000131788.15 PIAS3
ENSG00000198483.12 ANKRD35
ENSG00000143127.12 ITGA10
ENSG00000131779.10 PEX11B
ENSG00000265241.6 RBM8A
ENSG00000271601.3 LIX1L
ENSG00000272031.2 ANKRD34A
ENSG00000121851.12 POLR3GL
ENSG00000265972.5 TXNIP
ENSG00000168509.19 HFE2
ENSG00000131791.7 PRKAB2
ENSG00000131778.18 CHD1L
ENSG00000229828.2 PDE4DIPP1
ENSG00000178104.19 PDE4DIP
ENSG00000215861.5 WI2-1896O14.1
ENSG00000184678.10 HIST2H2BE
ENSG00000178096.8 BOLA1
ENSG00000143368.9 SF3B4
ENSG00000264522.5 OTUD7B
ENSG00000136631.12 VPS45
ENSG00000023902.13 PLEKHO1
ENSG00000143401.14 ANP32E
ENSG00000118298.10 CA14
ENSG00000117362.12 APH1A
ENSG00000159208.15 CIART
ENSG00000266472.5 MRPS21
ENSG00000117360.12 PRPF3
ENSG00000163125.15 RPRD2
ENSG00000143374.16 TARS2
ENSG00000143369.14 ECM1
ENSG00000143382.14 ADAMTSL4
ENSG00000143384.12 MCL1
ENSG00000143420.18 ENSA
ENSG00000143457.10 GOLPH3L
ENSG00000143387.12 CTSK
ENSG00000143437.20 ARNT
ENSG00000143379.12 SETDB1
ENSG00000143418.19 CERS2
ENSG00000143409.15 MINDY1
ENSG00000143363.15 PRUNE1
ENSG00000143443.9 C1orf56
ENSG00000197622.12 CDC42SE1
ENSG00000213190.3 MLLT11
ENSG00000261168.1 RP11-68I18.10
ENSG00000143434.15 SEMA6C
ENSG00000163155.11 LYSMD1
ENSG00000163156.11 SCNM1
ENSG00000163157.14 TMOD4
ENSG00000163159.12 VPS72
ENSG00000143398.19 PIP5K1A
ENSG00000159352.15 PSMD4
ENSG00000143373.17 ZNF687
ENSG00000143393.16 PI4KB
ENSG00000143390.17 RFX5
ENSG00000143416.20 SELENBP1
ENSG00000159377.10 PSMB4
ENSG00000143442.21 POGZ
ENSG00000143376.12 SNX27
ENSG00000143436.10 MRPL9
ENSG00000213171.2 LINGO4
ENSG00000143365.17 RORC
ENSG00000159445.12 THEM4
ENSG00000197747.8 S100A10
ENSG00000163191.5 S100A11
ENSG00000163220.10 S100A9
ENSG00000143546.9 S100A8
ENSG00000197956.9 S100A6
ENSG00000196154.11 S100A4
ENSG00000188643.10 S100A16
ENSG00000189171.14 S100A13
ENSG00000160678.11 S100A1
ENSG00000160679.12 CHTOP
ENSG00000143553.10 SNAPIN
ENSG00000143621.16 ILF2
ENSG00000143624.13 INTS3
ENSG00000143614.9 GATAD2B
ENSG00000198837.9 DENND4B
ENSG00000160741.16 CRTC2
ENSG00000143570.17 SLC39A1
ENSG00000143543.14 JTB
ENSG00000143545.8 RAB13
ENSG00000177954.11 RPS27
ENSG00000143549.19 TPM3
ENSG00000264384.2 RN7SL431P
ENSG00000143612.19 C1orf43
ENSG00000143569.18 UBAP2L
ENSG00000143575.14 HAX1
ENSG00000160712.12 IL6R
ENSG00000160714.9 UBE2Q1
ENSG00000160710.15 ADAR
ENSG00000143603.18 KCNN3
ENSG00000163344.5 PMVK
ENSG00000163346.16 PBXIP1
ENSG00000163348.3 PYGO2
ENSG00000160691.18 SHC1
ENSG00000160688.18 FLAD1
ENSG00000160685.13 ZBTB7B
ENSG00000143537.13 ADAM15
ENSG00000169242.11 EFNA1
ENSG00000179085.7 DPM3
ENSG00000163463.11 KRTCAP2
ENSG00000169231.13 THBS3
ENSG00000160767.20 FAM189B
ENSG00000116521.10 SCAMP3
ENSG00000176444.18 CLK2
ENSG00000160752.14 FDPS
ENSG00000160753.15 RUSC1
ENSG00000116539.12 ASH1L
ENSG00000163374.19 YY1AP1
ENSG00000132676.15 DAP3
ENSG00000116580.18 GON4L
ENSG00000132680.10 KIAA0907
ENSG00000116584.17 ARHGEF2
ENSG00000163479.13 SSR2
ENSG00000160803.7 UBQLN4
ENSG00000116586.11 LAMTOR2
ENSG00000160789.19 LMNA
ENSG00000160785.13 SLC25A44
ENSG00000160783.19 PMF1
ENSG00000198952.8 SMG5
ENSG00000163468.14 CCT3
ENSG00000116604.17 MEF2D
ENSG00000163382.11 NAXE
ENSG00000160818.16 GPATCH4
ENSG00000132688.10 NES
ENSG00000143320.8 CRABP2
ENSG00000143303.11 RRNAD1
ENSG00000143314.12 MRPL24
ENSG00000143321.18 HDGF
ENSG00000143294.14 PRCC
ENSG00000187800.13 PEAR1
ENSG00000132694.18 ARHGEF11
ENSG00000163565.18 IFI16
ENSG00000213088.9 ACKR1
ENSG00000158716.8 DUSP23
ENSG00000158710.14 TAGLN2
ENSG00000162729.13 IGSF8
ENSG00000018625.14 ATP1A2
ENSG00000143318.12 CASQ1
ENSG00000162734.12 PEA15
ENSG00000132716.18 DCAF8
ENSG00000162735.18 PEX19
ENSG00000122218.14 COPA
ENSG00000162736.15 NCSTN
ENSG00000158769.17 F11R
ENSG00000215845.10 TSTD1
ENSG00000158773.14 USF1
ENSG00000143256.4 PFDN2
ENSG00000158793.13 NIT1
ENSG00000158796.16 DEDD
ENSG00000143222.11 UFC1
ENSG00000143258.15 USP21
ENSG00000143224.17 PPOX
ENSG00000158850.14 B4GALT3
ENSG00000158859.9 ADAMTS4
ENSG00000158864.12 NDUFS2
ENSG00000158869.10 FCER1G
ENSG00000158882.14 TOMM40L
ENSG00000158887.15 MPZ
ENSG00000143252.14 SDHC
ENSG00000225217.1 HSPA7
ENSG00000118217.5 ATF6
ENSG00000198574.5 SH2D1B
ENSG00000152332.15 UHMK1
ENSG00000117143.13 UAP1
ENSG00000143248.12 RGS5
ENSG00000185630.18 PBX1
ENSG00000143171.12 RXRG
ENSG00000143198.12 MGST3
ENSG00000143149.12 ALDH9A1
ENSG00000143183.16 TMCO1
ENSG00000143179.14 UCK2
ENSG00000198842.9 DUSP27
ENSG00000143162.7 CREG1
ENSG00000198771.10 RCSD1
ENSG00000197965.11 MPZL1
ENSG00000143158.10 MPC2
ENSG00000143164.15 DCAF6
ENSG00000143155.12 TIPRL
ENSG00000143196.4 DPT
ENSG00000143153.12 ATP1B1
ENSG00000117479.12 SLC19A2
ENSG00000075945.12 KIFAP3
ENSG00000116132.11 PRRX1
ENSG00000094963.13 FMO2
ENSG00000117523.15 PRRC2C
ENSG00000034971.16 MYOC
ENSG00000010165.19 METTL13
ENSG00000117592.8 PRDX6
ENSG00000076321.10 KLHL20
ENSG00000234741.7 GAS5
ENSG00000135870.11 RC3H1
ENSG00000116161.17 CACYBP
ENSG00000120333.4 MRPS14
ENSG00000235750.9 KIAA0040
ENSG00000143207.19 RFWD2
ENSG00000213058.3 RP4-765C7.2
ENSG00000116194.12 ANGPTL1
ENSG00000116199.11 FAM20B
ENSG00000186283.13 TOR3A
ENSG00000169905.12 TOR1AIP2
ENSG00000143337.18 TOR1AIP1
ENSG00000135837.15 CEP350
ENSG00000116260.16 QSOX1
ENSG00000162783.10 IER5
ENSG00000135821.17 GLUL
ENSG00000143333.6 RGS16
ENSG00000135829.16 DHX9
ENSG00000135862.5 LAMC1
ENSG00000116698.21 SMG7
ENSG00000198860.11 TSEN15
ENSG00000116667.12 C1orf21
ENSG00000116406.18 EDEM3
ENSG00000135842.16 FAM129A
ENSG00000121486.11 TRMT1L
ENSG00000116679.15 IVNS1ABP
ENSG00000116690.12 PRG4
ENSG00000047410.13 TPR
ENSG00000157181.15 C1orf27
ENSG00000116741.7 RGS2
ENSG00000116750.13 UCHL5
ENSG00000272579.1 RP11-101E13.5
ENSG00000023572.8 GLRX2
ENSG00000134371.10 CDC73
ENSG00000000971.15 CFH
ENSG00000151414.14 NEK7
ENSG00000118197.13 DDX59
ENSG00000118200.14 CAMSAP2
ENSG00000081248.10 CACNA1S
ENSG00000116857.16 TMEM9
ENSG00000163395.16 IGFN1
ENSG00000118194.18 TNNT2
ENSG00000159166.13 LAD1
ENSG00000159173.18 TNNI1
ENSG00000174307.6 PHLDA3
ENSG00000159176.13 CSRP1
ENSG00000198700.9 IPO9
ENSG00000198892.6 SHISA4
ENSG00000163431.12 LMOD1
ENSG00000134375.10 TIMM17A
ENSG00000176393.10 RNPEP
ENSG00000143862.7 ARL8A
ENSG00000077152.9 UBE2T
ENSG00000077157.21 PPP1R12B
ENSG00000117153.15 KLHL12
ENSG00000159346.12 ADIPOR1
ENSG00000159348.12 CYB5R1
ENSG00000163444.11 TMEM183A
ENSG00000143847.15 PPFIA4
ENSG00000122180.4 MYOG
ENSG00000133055.8 MYBPH
ENSG00000133048.12 CHI3L1
ENSG00000159388.5 BTG2
ENSG00000122176.10 FMOD
ENSG00000188783.5 PRELP
ENSG00000058668.14 ATP2B4
ENSG00000182004.12 SNRPE
ENSG00000143842.14 SOX13
ENSG00000143850.13 PLEKHA6
ENSG00000158615.8 PPP1R15B
ENSG00000198625.12 MDM4
ENSG00000174529.7 TMEM81
ENSG00000117222.13 RBBP5
ENSG00000133059.16 DSTYK
ENSG00000133069.15 TMCC2
ENSG00000235363.1 SNRPGP10
ENSG00000158711.13 ELK4
ENSG00000069275.12 NUCKS1
ENSG00000117280.12 RAB29
ENSG00000133065.10 SLC41A1
ENSG00000266094.7 RASSF5
ENSG00000143486.15 EIF2D
ENSG00000162889.10 MAPKAPK2
ENSG00000224114.1 RP11-343H5.4
ENSG00000162894.11 FCMR
ENSG00000123836.14 PFKFB2
ENSG00000180667.10 YOD1
ENSG00000196352.14 CD55
ENSG00000117335.19 CD46
ENSG00000174059.16 CD34
ENSG00000076356.6 PLXNA2
ENSG00000227591.5 RP1-28O10.1
ENSG00000123689.5 G0S2
ENSG00000117625.13 RCOR3
ENSG00000123684.12 LPGAT1
ENSG00000066027.11 PPP2R5A
ENSG00000117691.9 NENF
ENSG00000162772.16 ATF3
ENSG00000203705.10 TATDN3
ENSG00000143499.13 SMYD2
ENSG00000152104.11 PTPN14
ENSG00000136636.12 KCTD3
ENSG00000067533.5 RRP15
ENSG00000092969.11 TGFB2
ENSG00000143353.11 LYPLAL1
ENSG00000136628.17 EPRS
ENSG00000067704.9 IARS2
ENSG00000118873.15 RAB3GAP2
ENSG00000218283.2 MORF4L1P1
ENSG00000162817.6 C1orf115
ENSG00000117791.15 MARC2
ENSG00000136630.12 HLX
ENSG00000143507.17 DUSP10
ENSG00000154305.16 MIA3
ENSG00000186063.12 AIDA
ENSG00000162819.11 BROX
ENSG00000162909.17 CAPN2
ENSG00000143514.16 TP53BP2
ENSG00000272645.3 GTF2IP20
ENSG00000143756.11 FBXO28
ENSG00000143753.12 DEGS1
ENSG00000143771.11 CNIH4
ENSG00000162923.14 WDR26
ENSG00000143815.14 LBR
ENSG00000154380.17 ENAH
ENSG00000227496.1 RP11-145A3.1
ENSG00000143742.12 SRP9
ENSG00000143819.12 EPHX1
ENSG00000242861.1 RP11-285F7.2
ENSG00000143811.18 PYCR2
ENSG00000143751.9 SDE2
ENSG00000163041.9 H3F3A
ENSG00000182827.8 ACBD3
ENSG00000143799.12 PARP1
