gene_id gene_desc
ENSG00000041988.15 THAP3
ENSG00000007923.15 DNAJC11
ENSG00000049245.12 VAMP3
ENSG00000049246.14 PER3
ENSG00000116288.12 PARK7
ENSG00000116285.12 ERRFI1
ENSG00000142599.17 RERE
ENSG00000074800.13 ENO1
ENSG00000228526.6 MIR34AHG
ENSG00000049239.12 H6PD
ENSG00000171621.13 SPSB1
ENSG00000171603.16 CLSTN1
ENSG00000178585.14 CTNNBIP1
ENSG00000162444.11 RBP7
ENSG00000130939.18 UBE4B
ENSG00000142657.20 PGD
ENSG00000142655.12 PEX14
ENSG00000120948.16 TARDBP
ENSG00000271895.2 RP4-635E18.8
ENSG00000116649.9 SRM
ENSG00000171824.13 EXOSC10
ENSG00000116661.9 FBXO2
ENSG00000132879.13 FBXO44
ENSG00000116663.10 FBXO6
ENSG00000116670.14 MAD2L2
ENSG00000177674.15 AGTRAP
ENSG00000011021.21 CLCN6
ENSG00000116685.15 KIAA2013
ENSG00000083444.16 PLOD1
ENSG00000116688.16 MFN2
ENSG00000116691.10 MIIP
ENSG00000028137.18 TNFRSF1B
ENSG00000162496.8 DHRS3
ENSG00000175147.11 TMEM51-AS1
ENSG00000171729.13 TMEM51
ENSG00000142634.12 EFHD2
ENSG00000162438.11 CTRC
ENSG00000142615.7 CELA2A
ENSG00000215704.9 CELA2B
ENSG00000132906.17 CASP9
ENSG00000116786.11 PLEKHM2
ENSG00000162458.12 FBLIM1
ENSG00000065526.10 SPEN
ENSG00000116809.11 ZBTB17
ENSG00000142627.12 EPHA2
ENSG00000142632.16 ARHGEF19
ENSG00000055070.16 SZRD1
ENSG00000157191.19 NECAP2
ENSG00000215908.10 CROCCP2
ENSG00000186301.8 MST1P2
ENSG00000186715.10 MST1L
ENSG00000238142.1 RP11-108M9.4
ENSG00000058453.16 CROCC
ENSG00000159363.17 ATP13A2
ENSG00000117118.9 SDHB
ENSG00000179051.13 RCC2
ENSG00000074964.16 ARHGEF10L
ENSG00000169991.10 IFFO2
ENSG00000127481.14 UBR4
ENSG00000053372.4 MRTO4
ENSG00000211454.13 AKR7L
ENSG00000162482.4 AKR7A3
ENSG00000053371.12 AKR7A2
ENSG00000040487.12 PQLC2
ENSG00000077549.17 CAPZB
ENSG00000173436.13 MINOS1
ENSG00000158747.13 NBL1
ENSG00000162542.13 TMCO4
ENSG00000178828.6 RNF186
ENSG00000188257.10 PLA2G2A
ENSG00000162545.5 CAMK2N1
ENSG00000090432.6 MUL1
ENSG00000158828.7 PINK1
ENSG00000244038.9 DDOST
ENSG00000127483.17 HP1BP3
ENSG00000075151.20 EIF4G3
ENSG00000117298.14 ECE1
ENSG00000076864.19 RAP1GAP
ENSG00000090686.15 USP48
ENSG00000142798.17 HSPG2
ENSG00000219073.7 CELA3B
ENSG00000273610.1 RN7SL386P
ENSG00000201919.1 RNU6-1022P
ENSG00000142789.19 CELA3A
ENSG00000278124.1 RN7SL186P
ENSG00000201273.1 RNU6-776P
ENSG00000218510.6 LINC00339
ENSG00000070831.15 CDC42
ENSG00000184677.16 ZBTB40
ENSG00000173372.16 C1QA
ENSG00000159189.11 C1QC
ENSG00000173369.15 C1QB
ENSG00000004487.15 KDM1A
ENSG00000261326.2 LINC01355
ENSG00000125944.18 HNRNPR
ENSG00000125945.14 ZNF436
ENSG00000204219.9 TCEA3
ENSG00000088280.18 ASAP3
ENSG00000117318.8 ID3
ENSG00000142676.12 RPL11
ENSG00000011007.12 ELOA
ENSG00000057757.9 PITHD1
ENSG00000011009.10 LYPLA2
ENSG00000117308.14 GALE
ENSG00000117305.14 HMGCL
ENSG00000179163.11 FUCA1
ENSG00000189266.11 PNRC2
ENSG00000188529.14 SRSF10
ENSG00000142677.3 IL22RA1
ENSG00000184454.6 NCMAP
ENSG00000133226.16 SRRM1
ENSG00000169504.14 CLIC4
ENSG00000117614.9 SYF2
ENSG00000117616.17 RSRP1
ENSG00000183726.10 TMEM50A
ENSG00000204178.9 TMEM57
ENSG00000157978.11 LDLRAP1
ENSG00000162430.16 SELENON
ENSG00000117640.17 MTFR1L
ENSG00000158006.13 PAFAH2
ENSG00000158014.14 SLC30A2
ENSG00000284309.1 RP11-96L14.9
ENSG00000142675.17 CNKSR1
ENSG00000142669.14 SH3BGRL3
ENSG00000158062.20 UBXN11
ENSG00000117682.16 DHDDS
ENSG00000198830.10 HMGN2
ENSG00000117676.13 RPS6KA1
ENSG00000117713.18 ARID1A
ENSG00000142751.14 GPN2
ENSG00000090273.13 NUDC
ENSG00000131910.4 NR0B2
ENSG00000175707.8 KDF1
ENSG00000253368.3 TRNP1
ENSG00000090020.10 SLC9A1
ENSG00000142784.15 WDTC1
ENSG00000186501.14 TMEM222
ENSG00000142765.17 SYTL1
ENSG00000142733.14 MAP3K6
ENSG00000142748.12 FCN3
ENSG00000158195.10 WASF2
ENSG00000126705.13 AHDC1
ENSG00000126709.14 IFI6
ENSG00000117758.13 STX12
ENSG00000117751.17 PPP1R8
ENSG00000117748.9 RPA2
ENSG00000130768.14 SMPDL3B
ENSG00000158156.7 XKR8
ENSG00000126698.10 DNAJC8
ENSG00000130770.17 ATPIF1
ENSG00000130766.4 SESN2
ENSG00000204138.12 PHACTR4
ENSG00000180198.15 RCC1
ENSG00000197989.13 SNHG12
ENSG00000278274.1 SNORA61
ENSG00000120656.11 TAF12
ENSG00000198492.15 YTHDF2
ENSG00000116350.16 SRSF4
ENSG00000060656.19 PTPRU
ENSG00000162511.7 LAPTM5
ENSG00000134644.15 PUM1
ENSG00000121766.15 ZCCHC17
ENSG00000168528.11 SERINC2
ENSG00000142910.15 TINAGL1
ENSG00000162517.12 PEF1
ENSG00000084636.17 COL16A1
ENSG00000184007.18 PTP4A2
ENSG00000121774.17 KHDRBS1
ENSG00000025800.13 KPNA6
ENSG00000084652.15 TXLNA
ENSG00000160055.19 TMEM234
ENSG00000084623.11 EIF3I
ENSG00000220785.7 MTMR9LP
ENSG00000183615.5 FAM167B
ENSG00000116478.11 HDAC1
ENSG00000175130.6 MARCKSL1
ENSG00000160058.18 BSDC1
ENSG00000162521.18 RBBP4
ENSG00000162522.10 KIAA1522
ENSG00000134684.10 YARS
ENSG00000121900.18 TMEM54
ENSG00000116514.16 RNF19B
ENSG00000004455.16 AK2
ENSG00000160094.14 ZNF362
ENSG00000134686.18 PHC2
ENSG00000243749.1 TMEM35B
ENSG00000116560.10 SFPQ
ENSG00000146463.11 ZMYM4
ENSG00000142687.17 KIAA0319L
ENSG00000020129.15 NCDN
ENSG00000126067.11 PSMB2
ENSG00000134698.10 AGO4
ENSG00000116863.10 ADPRHL2
ENSG00000054116.11 TRAPPC3
ENSG00000116871.15 MAP7D1
ENSG00000054118.13 THRAP3
ENSG00000142694.6 EVA1B
ENSG00000196182.10 STK40
ENSG00000181817.5 LSM10
ENSG00000116898.11 MRPS15
ENSG00000163874.10 ZC3H12A
ENSG00000163875.15 MEAF6
ENSG00000163879.10 DNALI1
ENSG00000134697.12 GNL2
ENSG00000196449.3 YRDC
ENSG00000197982.13 C1orf122
ENSG00000183431.11 SF3A3
ENSG00000183386.9 FHL3
ENSG00000183520.11 UTP11
ENSG00000116954.7 RRAGC
ENSG00000214114.8 MYCBP
ENSG00000174574.15 AKIRIN1
ENSG00000168653.10 NDUFS5
ENSG00000090621.13 PABPC4
ENSG00000163909.7 HEYL
ENSG00000084072.16 PPIE
ENSG00000043514.15 TRIT1
ENSG00000116990.10 MYCL
ENSG00000131236.16 CAP1
ENSG00000131238.16 PPT1
ENSG00000084073.8 ZMPSTE24
ENSG00000084070.11 SMAP2
ENSG00000066136.20 NFYC
ENSG00000179862.6 CITED4
ENSG00000010803.16 SCMH1
ENSG00000198815.8 FOXJ3
ENSG00000127125.8 PPCS
ENSG00000171960.10 PPIH
ENSG00000065978.18 YBX1
ENSG00000117385.15 P3H1
ENSG00000117395.12 EBNA1BP2
ENSG00000179178.10 TMEM125
ENSG00000253313.5 C1orf210
ENSG00000066322.14 ELOVL1
ENSG00000159479.16 MED8
ENSG00000198198.15 SZT2
ENSG00000142949.16 PTPRF
ENSG00000117408.10 IPO13
ENSG00000132768.13 DPH2
ENSG00000117410.13 ATP6V0B
ENSG00000117411.16 B4GALT2
ENSG00000159214.12 CCDC24
ENSG00000178028.13 DMAP1
ENSG00000117419.14 ERI3
ENSG00000187147.17 RNF220
ENSG00000142937.11 RPS8
ENSG00000173846.12 PLK3
ENSG00000126107.14 HECTD3
ENSG00000126088.13 UROD
ENSG00000117450.13 PRDX1
ENSG00000117448.13 AKR1A1
ENSG00000132780.16 NASP
ENSG00000159592.10 GPBP1L1
ENSG00000159596.6 TMEM69
ENSG00000085998.13 POMGNT1
ENSG00000132128.16 LRRC41
ENSG00000173660.11 UQCRH
ENSG00000117480.15 FAAH
ENSG00000079277.19 MKNK1
ENSG00000142961.14 MOB3C
ENSG00000123472.12 ATPAF1
ENSG00000159658.10 EFCAB14
ENSG00000162366.7 PDZK1IP1
ENSG00000162368.13 CMPK1
ENSG00000185104.19 FAF1
ENSG00000123091.4 RNF11
ENSG00000085832.16 EPS15
ENSG00000117859.18 OSBPL9
ENSG00000078618.21 NRDC
ENSG00000117862.11 TXNDC12
ENSG00000134717.17 BTF3L4
ENSG00000157077.14 ZFYVE9
ENSG00000154222.14 CC2D1B
ENSG00000134748.12 PRPF38A
ENSG00000121310.16 ECHDC2
ENSG00000230953.2 RP4-631H13.6
ENSG00000116171.17 SCP2
ENSG00000174348.13 PODN
ENSG00000157184.6 CPT2
ENSG00000162384.13 C1orf123
ENSG00000162385.10 MAGOH
ENSG00000058799.14 YIPF1
ENSG00000116212.14 LRRC42
ENSG00000116209.11 TMEM59
ENSG00000116221.15 MRPL37
ENSG00000157216.15 SSBP3
ENSG00000243725.6 TTC4
ENSG00000116133.11 DHCR24
ENSG00000162402.13 USP24
ENSG00000162407.8 PLPP3
ENSG00000184292.6 TACSTD2
ENSG00000162601.9 MYSM1
ENSG00000177606.6 JUN
ENSG00000134709.10 HOOK1
ENSG00000132849.19 PATJ
ENSG00000132854.18 KANK4
ENSG00000162607.12 USP1
ENSG00000079739.15 PGM1
ENSG00000162434.11 JAK1
ENSG00000213625.8 LEPROT
ENSG00000142864.14 SERBP1
ENSG00000116717.11 GADD45A
ENSG00000172380.5 GNG12
ENSG00000162595.5 DIRAS3
ENSG00000116729.13 WLS
ENSG00000116754.13 SRSF11
ENSG00000116761.11 CTH
ENSG00000132485.13 ZRANB2
ENSG00000116791.13 CRYZ
ENSG00000117054.13 ACADM
ENSG00000137955.15 RABGGTB
ENSG00000226084.5 RP4-706A16.3
ENSG00000077254.14 USP33
ENSG00000162614.18 NEXN
ENSG00000162613.16 FUBP1
ENSG00000162616.8 DNAJB4
ENSG00000137960.5 GIPC2
ENSG00000137965.10 IFI44
ENSG00000117133.10 RPF1
ENSG00000174021.10 GNG5
ENSG00000055732.12 MCOLN3
ENSG00000153904.18 DDAH1
ENSG00000142871.16 CYR61
ENSG00000097033.14 SH3GLB1
ENSG00000183291.15 SELENOF
ENSG00000143013.12 LMO4
ENSG00000065243.19 PKN2
ENSG00000137947.11 GTF2B
ENSG00000137944.17 KYAT3
ENSG00000162645.12 GBP2
ENSG00000069702.10 TGFBR3
ENSG00000122406.12 RPL5
ENSG00000117500.12 TMED5
ENSG00000223745.7 CCDC18-AS1
ENSG00000137942.16 FNBP1L
ENSG00000117528.11 ABCD3
ENSG00000117525.13 F3
ENSG00000143036.16 SLC44A3
ENSG00000117519.15 CNN3
ENSG00000122481.16 RWDD3
ENSG00000137970.7 RPL7P9
ENSG00000162627.16 SNX7
ENSG00000156875.13 MFSD14A
ENSG00000122435.9 TRMT13
ENSG00000137996.12 RTCA
ENSG00000162692.10 VCAM1
ENSG00000117543.20 DPH5
ENSG00000170989.8 S1PR1
ENSG00000185946.15 RNPC3
ENSG00000240038.6 AMY2B
ENSG00000243480.7 AMY2A
ENSG00000234441.1 RP5-1108M17.5
ENSG00000174876.16 AMY1B
ENSG00000227408.1 AMYP1
ENSG00000187733.6 AMY1C
ENSG00000198890.7 PRMT6
ENSG00000134186.11 PRPF38B
ENSG00000116266.10 STXBP3
ENSG00000121940.15 CLCC1
ENSG00000197780.9 TAF13
ENSG00000215717.5 TMEM167B
ENSG00000116299.16 KIAA1324
ENSG00000031698.12 SARS
ENSG00000134243.11 SORT1
ENSG00000143106.12 PSMA5
ENSG00000174151.14 CYB561D1
ENSG00000116337.15 AMPD2
ENSG00000168765.16 GSTM4
ENSG00000134184.12 GSTM1
ENSG00000134202.10 GSTM3
ENSG00000184371.13 CSF1
ENSG00000168710.17 AHCYL1
ENSG00000143093.14 STRIP1
ENSG00000134248.13 LAMTOR5
ENSG00000143119.12 CD53
ENSG00000156171.14 DRAM2
ENSG00000116455.13 WDR77
ENSG00000116459.10 ATP5F1
ENSG00000116473.14 RAP1A
ENSG00000116489.12 CAPZA1
ENSG00000155363.18 MOV10
ENSG00000155366.16 RHOC
ENSG00000188761.11 BCL2L15
ENSG00000134262.12 AP4B1
ENSG00000163349.21 HIPK1
ENSG00000116774.11 OLFML3
ENSG00000116752.5 BCAS2
ENSG00000213281.4 NRAS
ENSG00000009307.15 CSDE1
ENSG00000163399.15 ATP1A1
ENSG00000134247.9 PTGFRN
ENSG00000134253.9 TRIM45
ENSG00000134258.16 VTCN1
ENSG00000198162.12 MAN1A2
ENSG00000183508.4 FAM46C
ENSG00000092621.11 PHGDH
ENSG00000134240.11 HMGCS2
ENSG00000134193.14 REG4
ENSG00000134250.19 NOTCH2
ENSG00000265808.3 SEC22B
ENSG00000270231.3 NBPF8
ENSG00000266338.6 NBPF15
ENSG00000174827.13 PDZK1
ENSG00000186141.8 POLR3C
ENSG00000131788.15 PIAS3
ENSG00000131779.10 PEX11B
ENSG00000265241.6 RBM8A
ENSG00000121851.12 POLR3GL
ENSG00000265972.5 TXNIP
ENSG00000268043.7 NBPF12
ENSG00000131791.7 PRKAB2
ENSG00000131781.12 FMO5
ENSG00000226015.2 CCT8P1
ENSG00000131778.18 CHD1L
ENSG00000184678.10 HIST2H2BE
ENSG00000178096.8 BOLA1
ENSG00000143368.9 SF3B4
ENSG00000014914.20 MTMR11
ENSG00000136631.12 VPS45
ENSG00000143401.14 ANP32E
ENSG00000117362.12 APH1A
ENSG00000266472.5 MRPS21
ENSG00000117360.12 PRPF3
ENSG00000163125.15 RPRD2
ENSG00000143374.16 TARS2
ENSG00000143384.12 MCL1
ENSG00000143420.18 ENSA
ENSG00000143457.10 GOLPH3L
ENSG00000163131.10 CTSS
ENSG00000143387.12 CTSK
ENSG00000143437.20 ARNT
ENSG00000143379.12 SETDB1
ENSG00000143418.19 CERS2
ENSG00000143412.9 ANXA9
ENSG00000143409.15 MINDY1
ENSG00000143363.15 PRUNE1
ENSG00000197622.12 CDC42SE1
ENSG00000163159.12 VPS72
ENSG00000143398.19 PIP5K1A
ENSG00000159352.15 PSMD4
ENSG00000143373.17 ZNF687
ENSG00000143393.16 PI4KB
ENSG00000143390.17 RFX5
ENSG00000143416.20 SELENBP1
ENSG00000159377.10 PSMB4
ENSG00000143442.21 POGZ
ENSG00000143375.14 CGN
ENSG00000143367.15 TUFT1
ENSG00000143436.10 MRPL9
ENSG00000143365.17 RORC
ENSG00000159445.12 THEM4
ENSG00000197747.8 S100A10
ENSG00000163191.5 S100A11
ENSG00000163220.10 S100A9
ENSG00000143546.9 S100A8
ENSG00000197956.9 S100A6
ENSG00000196154.11 S100A4
ENSG00000188643.10 S100A16
ENSG00000189334.8 S100A14
ENSG00000189171.14 S100A13
ENSG00000160679.12 CHTOP
ENSG00000143553.10 SNAPIN
ENSG00000143621.16 ILF2
ENSG00000143624.13 INTS3
ENSG00000143554.13 SLC27A3
ENSG00000198837.9 DENND4B
ENSG00000160741.16 CRTC2
ENSG00000143570.17 SLC39A1
ENSG00000143578.15 CREB3L4
ENSG00000143543.14 JTB
ENSG00000143545.8 RAB13
ENSG00000177954.11 RPS27
ENSG00000143549.19 TPM3
ENSG00000143612.19 C1orf43
ENSG00000143569.18 UBAP2L
ENSG00000143575.14 HAX1
ENSG00000160714.9 UBE2Q1
ENSG00000160710.15 ADAR
ENSG00000163344.5 PMVK
ENSG00000163346.16 PBXIP1
ENSG00000163348.3 PYGO2
ENSG00000160691.18 SHC1
ENSG00000160685.13 ZBTB7B
ENSG00000143537.13 ADAM15
ENSG00000169242.11 EFNA1
ENSG00000169241.17 SLC50A1
ENSG00000179085.7 DPM3
ENSG00000163463.11 KRTCAP2
ENSG00000185499.16 MUC1
ENSG00000169231.13 THBS3
ENSG00000177628.15 GBA
ENSG00000160767.20 FAM189B
ENSG00000116521.10 SCAMP3
ENSG00000176444.18 CLK2
ENSG00000160752.14 FDPS
ENSG00000225855.6 RUSC1-AS1
ENSG00000160753.15 RUSC1
ENSG00000116539.12 ASH1L
ENSG00000125459.14 MSTO1
ENSG00000163374.19 YY1AP1
ENSG00000132676.15 DAP3
ENSG00000132680.10 KIAA0907
ENSG00000116584.17 ARHGEF2
ENSG00000163479.13 SSR2
ENSG00000160803.7 UBQLN4
ENSG00000116586.11 LAMTOR2
ENSG00000132698.14 RAB25
ENSG00000160789.19 LMNA
ENSG00000160783.19 PMF1
ENSG00000198952.8 SMG5
ENSG00000198715.11 GLMP
ENSG00000163468.14 CCT3
ENSG00000116604.17 MEF2D
ENSG00000163382.11 NAXE
ENSG00000160818.16 GPATCH4
ENSG00000143303.11 RRNAD1
ENSG00000143314.12 MRPL24
ENSG00000143321.18 HDGF
ENSG00000143294.14 PRCC
ENSG00000187800.13 PEAR1
ENSG00000132694.18 ARHGEF11
ENSG00000163565.18 IFI16
ENSG00000213088.9 ACKR1
ENSG00000132703.3 APCS
ENSG00000132693.12 CRP
ENSG00000158716.8 DUSP23
ENSG00000158710.14 TAGLN2
ENSG00000260766.1 RP11-226L15.5
ENSG00000162729.13 IGSF8
ENSG00000162734.12 PEA15
ENSG00000132716.18 DCAF8
ENSG00000162735.18 PEX19
ENSG00000122218.14 COPA
ENSG00000162736.15 NCSTN
ENSG00000234425.1 RP11-528G1.2
ENSG00000158769.17 F11R
ENSG00000215845.10 TSTD1
ENSG00000158773.14 USF1
ENSG00000143256.4 PFDN2
ENSG00000158793.13 NIT1
ENSG00000158796.16 DEDD
ENSG00000143222.11 UFC1
ENSG00000143258.15 USP21
ENSG00000143224.17 PPOX
ENSG00000158850.14 B4GALT3
ENSG00000158864.12 NDUFS2
ENSG00000158869.10 FCER1G
ENSG00000081721.11 DUSP12
ENSG00000118217.5 ATF6
ENSG00000152332.15 UHMK1
ENSG00000117143.13 UAP1
ENSG00000143248.12 RGS5
ENSG00000185630.18 PBX1
ENSG00000143198.12 MGST3
ENSG00000143149.12 ALDH9A1
ENSG00000143183.16 TMCO1
ENSG00000143179.14 UCK2
ENSG00000143157.11 POGK
ENSG00000143162.7 CREG1
ENSG00000197965.11 MPZL1
ENSG00000143158.10 MPC2
ENSG00000143164.15 DCAF6
ENSG00000143155.12 TIPRL
ENSG00000143196.4 DPT
ENSG00000143153.12 ATP1B1
ENSG00000117479.12 SLC19A2
ENSG00000117523.15 PRRC2C
ENSG00000010165.19 METTL13
ENSG00000094975.13 SUCO
ENSG00000117592.8 PRDX6
ENSG00000234741.7 GAS5
ENSG00000116161.17 CACYBP
ENSG00000120333.4 MRPS14
ENSG00000235750.9 KIAA0040
ENSG00000143207.19 RFWD2
ENSG00000120341.18 SEC16B
ENSG00000213058.3 RP4-765C7.2
ENSG00000116199.11 FAM20B
ENSG00000186283.13 TOR3A
ENSG00000057252.12 SOAT1
ENSG00000143337.18 TOR1AIP1
ENSG00000116260.16 QSOX1
ENSG00000135821.17 GLUL
ENSG00000143333.6 RGS16
ENSG00000135829.16 DHX9
ENSG00000135862.5 LAMC1
ENSG00000116698.21 SMG7
ENSG00000162704.15 ARPC5
ENSG00000198860.11 TSEN15
ENSG00000116406.18 EDEM3
ENSG00000135842.16 FAM129A
ENSG00000116679.15 IVNS1ABP
ENSG00000047410.13 TPR
ENSG00000157181.15 C1orf27
ENSG00000090104.11 RGS1
ENSG00000116741.7 RGS2
ENSG00000272579.1 RP11-101E13.5
ENSG00000000971.15 CFH
ENSG00000151414.14 NEK7
ENSG00000116833.13 NR5A2
ENSG00000163362.10 C1orf106
ENSG00000116857.16 TMEM9
ENSG00000163395.16 IGFN1
ENSG00000159166.13 LAD1
ENSG00000174307.6 PHLDA3
ENSG00000159176.13 CSRP1
ENSG00000163431.12 LMOD1
ENSG00000134375.10 TIMM17A
ENSG00000176393.10 RNPEP
ENSG00000273478.1 RP11-465N4.5
ENSG00000163435.15 ELF3
ENSG00000249007.1 RP11-510N19.5
ENSG00000143862.7 ARL8A
ENSG00000117153.15 KLHL12
ENSG00000159346.12 ADIPOR1
ENSG00000159348.12 CYB5R1
ENSG00000163444.11 TMEM183A
ENSG00000163485.16 ADORA1
ENSG00000133048.12 CHI3L1
ENSG00000159388.5 BTG2
ENSG00000122176.10 FMOD
ENSG00000188783.5 PRELP
ENSG00000058668.14 ATP2B4
ENSG00000182004.12 SNRPE
ENSG00000143842.14 SOX13
ENSG00000174567.7 GOLT1A
ENSG00000143850.13 PLEKHA6
ENSG00000158615.8 PPP1R15B
ENSG00000198625.12 MDM4
ENSG00000163545.8 NUAK2
ENSG00000117266.15 CDK18
ENSG00000069275.12 NUCKS1
ENSG00000117280.12 RAB29
ENSG00000133065.10 SLC41A1
ENSG00000162877.12 PM20D1
ENSG00000266094.7 RASSF5
ENSG00000143486.15 EIF2D
ENSG00000162889.10 MAPKAPK2
ENSG00000224114.1 RP11-343H5.4
ENSG00000162896.5 PIGR
ENSG00000182795.12 C1orf116
ENSG00000123843.12 C4BPB
ENSG00000123838.10 C4BPA
ENSG00000196352.14 CD55
ENSG00000117335.19 CD46
ENSG00000174059.16 CD34
ENSG00000076356.6 PLXNA2
ENSG00000123689.5 G0S2
ENSG00000117595.10 IRF6
ENSG00000117625.13 RCOR3
ENSG00000082512.14 TRAF5
ENSG00000170385.9 SLC30A1
ENSG00000123684.12 LPGAT1
ENSG00000066027.11 PPP2R5A
ENSG00000117691.9 NENF
ENSG00000162772.16 ATF3
ENSG00000117707.15 PROX1
ENSG00000143499.13 SMYD2
ENSG00000136636.12 KCTD3
ENSG00000143353.11 LYPLAL1
ENSG00000228536.2 RP11-392O17.1
ENSG00000136628.17 EPRS
ENSG00000067704.9 IARS2
ENSG00000218283.2 MORF4L1P1
ENSG00000162817.6 C1orf115
ENSG00000117791.15 MARC2
ENSG00000143507.17 DUSP10
ENSG00000154305.16 MIA3
ENSG00000186063.12 AIDA
ENSG00000162819.11 BROX
ENSG00000162909.17 CAPN2
ENSG00000143514.16 TP53BP2
ENSG00000272645.3 GTF2IP20
ENSG00000143753.12 DEGS1
ENSG00000162923.14 WDR26
ENSG00000143815.14 LBR
ENSG00000143742.12 SRP9
ENSG00000143819.12 EPHX1
ENSG00000242861.1 RP11-285F7.2
ENSG00000196187.11 TMEM63A
ENSG00000243709.1 LEFTY1
ENSG00000143811.18 PYCR2
ENSG00000163041.9 H3F3A
ENSG00000182827.8 ACBD3
ENSG00000143799.12 PARP1
ENSG00000143801.16 PSEN2
ENSG00000163050.16 COQ8A
ENSG00000081692.12 JMJD4
ENSG00000143761.15 ARF1
ENSG00000162910.18 MRPL55
ENSG00000143774.16 GUK1
ENSG00000168159.11 RNF187
ENSG00000116574.5 RHOU
ENSG00000168118.11 RAB4A
ENSG00000143632.14 ACTA1
ENSG00000069248.11 NUP133
ENSG00000143641.9 GALNT2
ENSG00000135775.13 COG2
ENSG00000135744.7 AGT
ENSG00000119280.16 C1orf198
ENSG00000143643.12 TTC13
ENSG00000173409.13 ARV1
ENSG00000116906.11 GNPAT
ENSG00000135766.8 EGLN1
ENSG00000116918.13 TSNAX
ENSG00000143674.10 MAP3K21
ENSG00000059588.9 TARBP1
ENSG00000168264.10 IRF2BP2
ENSG00000173726.10 TOMM20
ENSG00000054267.21 ARID4B
ENSG00000116957.12 TBCE
ENSG00000162885.12 B3GALNT2
ENSG00000116962.14 NID1
ENSG00000086619.13 ERO1B
ENSG00000116977.18 LGALS8
ENSG00000119285.10 HEATR1
ENSG00000116984.12 MTR
ENSG00000091483.6 FH
ENSG00000179456.10 ZBTB18
ENSG00000035687.9 ADSS
ENSG00000153187.18 HNRNPU
ENSG00000162851.7 TFB2M
ENSG00000143653.9 SCCPDH
ENSG00000259865.1 RP11-488L18.10
ENSG00000227671.4 RP11-488L18.4
ENSG00000162714.12 ZNF496
ENSG00000171161.12 ZNF672
ENSG00000171163.15 ZNF692
ENSG00000184731.5 FAM110C
ENSG00000035115.21 SH3YL1
ENSG00000143727.15 ACP1
ENSG00000189292.15 ALKAL2
ENSG00000151353.14 TMEM18
ENSG00000171853.15 TRAPPC12
ENSG00000182551.13 ADI1
ENSG00000171863.12 RPS7
ENSG00000118004.17 COLEC11
ENSG00000228203.6 RNF144A-AS1
ENSG00000151692.14 RNF144A
ENSG00000115738.9 ID2
ENSG00000134330.18 IAH1
ENSG00000134308.13 YWHAQ
ENSG00000260077.1 RP11-254F7.2
ENSG00000172059.10 KLF11
ENSG00000205795.4 CYS1
ENSG00000115756.12 HPCAL1
ENSG00000115758.12 ODC1
ENSG00000115761.15 NOL10
ENSG00000143870.12 PDIA6
ENSG00000162976.12 PQLC3
ENSG00000134324.11 LPIN1
ENSG00000071575.11 TRIB2
ENSG00000151779.12 NBAS
ENSG00000079785.14 DDX1
ENSG00000240857.1 RDH14
ENSG00000068697.6 LAPTM4A
ENSG00000115884.10 SDC1
ENSG00000055917.15 PUM2
ENSG00000143878.9 RHOB
ENSG00000115128.6 SF3B6
ENSG00000115129.13 TP53I3
